frame,head_tilt,shoulder_angle,left_knee,right_knee,left_hip,right_hip,left_ankle,right_ankle
56,3.518748757580199,29.071139690303465,150.6704085182767,151.89982239043613,52.95054608512213,41.7746049272385,53.02717178640034,55.59311996159887
57,0.20546879246796712,15.208951718976067,156.2791486427372,154.8497310831877,55.27360035438223,46.71258551736242,53.36413660227349,54.783468139701206
58,2.6972351652798077,107.80298683720156,159.19187458778708,154.6423009200233,66.8826369897368,56.158577704193185,52.01544597925299,52.43410789353528
59,4.004270458233721,122.72338145676655,161.8503140312746,155.08562932544157,72.55183943691404,62.21645167144518,51.35137822844008,50.78072537917293
60,4.494613829433411,123.83033320476564,162.557529524567,162.0239312037538,86.01717744348646,76.43053610742072,47.12864713537819,51.559177933365454
61,8.393985338042054,91.73511954069615,167.25509288368903,171.6492962433706,104.95630226330682,118.35238446216584,44.88713429889741,50.36863922234449
62,14.72544300311249,87.57201539526206,162.38949650812253,166.96742795426496,130.9481323364774,155.1275774213219,32.050419634975675,13.964278388902336
63,14.659621055506888,78.35519692890625,164.6538647973848,167.87282361819288,146.10881757104386,169.37909531223846,27.091560599914185,13.204519743863143
64,13.56167039307613,75.8179892358567,159.4160784746079,173.8886717848252,146.68291196106762,143.765257069235,23.211566406179973,27.07359240530495
65,10.454502876912322,72.44792063266618,163.09359348239516,132.24383350700867,157.29296349151218,130.53099969263374,21.406126632142556,17.789749496627284
66,6.426502526549152,74.66414420767855,167.23840142714846,176.71060326914707,164.7125934203068,126.58081816739617,20.578856304232666,28.766976935899798
67,6.375589145073372,70.41439450881116,175.3804090445543,178.7076589318857,176.84965233113147,120.9750053061912,19.58697667967506,34.834014186344966
68,6.659630477288603,65.24639070939268,174.21986403390198,142.34886968316783,171.94855339800435,123.01710603929752,11.026100656982134,63.486508301364964
69,7.031783350327264,64.51370653845235,177.78735782419133,127.14148023479012,168.26761665736728,132.52165509683914,12.800135003277484,69.02006022221487
70,8.503165895655425,66.20993204859421,179.21895600311885,118.60702405614411,171.72422245344674,148.27491994482742,9.201741367011492,63.95462397272009
71,9.130609293858072,66.8335575232922,177.37407624691681,94.67088193023055,170.6496499673284,167.08404928159212,8.503043796172744,69.5588090365202
72,7.3956683942375046,68.49814824024503,174.60048072564044,80.90489463527304,166.5109212533616,179.55396674406433,7.248394065996965,71.41669084251454
73,8.500766246895234,68.39943975358092,178.0300631383025,77.65766264831383,160.63567882474354,178.41834656253616,0.9209186620123296,73.04072966935625
74,14.408865905449563,68.844036967251,162.36400465305093,66.73797378174677,178.73557266344756,163.8120562610166,10.731880584180383,73.2069066785035
75,12.5606281125217,69.31150348161394,144.66084094890914,62.40260309254086,174.85421844492208,157.45588450445152,25.564092450756206,72.12467029697571
76,10.597268715623743,69.5925730811264,144.5110487305649,58.958660625693604,175.50361938966685,152.1877255381903,25.345364122428094,70.27587835206124
77,11.138031478275378,68.83664910090955,146.2315072684151,57.08068280177803,178.4719308454321,148.8908619486821,28.60703088742866,67.79952920838382
78,12.217769533750927,69.47161767579782,150.05114501825855,63.24994323434667,176.17312043824734,148.4364164487275,28.174181771485408,61.73889602528117
79,14.376783184705507,71.40131987414694,147.86944248115717,69.78100789760806,177.260841427511,144.96814469064702,28.92189499750637,53.892611544016894
80,13.159650981702221,72.7085052791438,147.5117389465147,69.64996569036238,175.4378876376751,142.29517196079235,29.5137634111337,52.56178732092889
81,13.761064679969975,74.03224841064204,145.59563109320118,73.66885714479017,172.5230588634012,139.2961804291187,30.370070121843455,46.96252149526498
