Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m)
0,0.09420779013274962,0.09420779013274962,15.89809174646717,14.794134182756055,0
0.016683333333333335,0.30128609503726006,0.20707830490451043,33.22021599547897,81.57449191671844,0.07694409034426239
0.03336666666666667,1.016572364213014,0.715286269175754,63.510300347979054,96.27074705541254,0.34032862045084167
0.050050000000000004,1.2233715301695145,0.20679916595650055,97.43505002092165,106.269922506513,0.5820610535124646
0.06673333333333334,1.2633449710638627,0.0399734408943482,172.21008220024538,116.51045100184284,0.2492389713041899
0.08341666666666667,1.3285295101919223,0.06518453912805967,162.00528885632025,173.46666261138515,0.1309942969719599
0.1001,1.5329511017537703,0.20442159156184792,176.22966682526106,175.5575942191916,0.07614043683826871
0.11678333333333332,2.0515169881217066,0.5185658863679362,166.1509603372181,142.87949428102232,0.09109795736701679
0.13346666666666665,2.4476990987765315,0.3961821106548248,162.56174389595495,149.0868683965615,0.014643605172285815
0.15014999999999998,2.9388701838257765,0.49117108504924517,158.25996547697815,159.1697522422603,0.05490519677780385
0.1668333333333333,3.4354932548697414,0.49662307104396514,162.35724268218448,159.49598531727034,0.0035737617155242804
0.18351666666666663,3.9860327047163673,0.550539449846626,148.79683028229695,145.48455878545408,0.00810802459918216
0.20019999999999996,4.651087218581711,0.665054513865344,162.73153472449175,153.6631563387889,0.04161510635353892
0.2168833333333333,5.331725987929073,0.6806387693473621,168.82006670428905,162.9623233554432,0.014743291437003187
0.23356666666666662,6.039197772165796,0.7074717842367227,172.31814518410198,159.614487862692,0.012792535040461744
0.25025,6.7478381341965346,0.7086403620307389,174.1690142336444,156.84992798120854,0.00394921154811564
0.2669333333333333,7.462950123100727,0.7151119889041928,175.58829982137533,158.08588945953252,0.006142102331898439
0.28361666666666663,8.16776117869497,0.7048110555942435,174.07412760614798,161.8478358136623,0.016415745239147298
0.30029999999999996,8.877108431917387,0.7093472532224172,176.6601182729709,157.86255031863922,0.025967725631553782
0.3169833333333333,9.587763511366697,0.7106550794493105,175.4913213159577,161.34367881407064,0.008432093980896059
0.3336666666666666,10.283668084346832,0.6959045729801353,177.41990346152016,154.1852629228745,0.006967605047772825
0.35034999999999994,10.963697484422962,0.6800294000761297,178.10881738958173,155.85433870271342,0.009940313744936811
0.36703333333333327,11.629582220844583,0.6658847364216198,177.96900799539662,153.89552501911913,0.0013376502032138137
0.3837166666666666,11.647177858128128,0.017595637283545334,170.78507411993584,165.24579624564936,0.1692703121155226
0.4003999999999999,12.300868579907846,0.6536907217797188,177.71909534266342,150.2151483695734,0.1598085208822006
0.41708333333333325,12.936782730320232,0.6359141504123856,179.8983885706604,158.82993250769692,0.03950537045621269
0.4337666666666666,12.99144038685116,0.0546576565309273,145.88765052727305,160.93132180975377,0.12525473600010242
0.4504499999999999,13.5723380583396,0.5808976714884403,170.1258128154575,132.7938388659815,0.10544665945086597
0.46713333333333323,14.165304420391642,0.5929663620520431,177.6715693370885,123.75355140356716,0.04710970669552789
0.48381666666666656,14.176964614387067,0.011660193995425578,152.50510356315274,157.02238054817136,0.14778273341492607
0.5005,14.740134082174398,0.5631694677873306,164.36271294704412,134.6981498450415,0.1400303653076379
0.5171833333333333,14.89578097477022,0.15564689259582168,165.39972149569533,138.78156723912787,0.05367364128479904
0.5338666666666667,15.23853695909034,0.34275598432011867,177.9515948937775,119.10604738989564,0.015087270186323224
0.5505500000000001,15.336205247896666,0.09766828880632651,176.67151961039022,111.44355348696597,0.03322219436201199
0.5672333333333335,15.517779580994958,0.18157433309829193,173.0528578300237,99.61342771549464,0.025370934782242296
0.5839166666666669,15.698025738329461,0.18024615733450358,174.14540143916602,94.9328755678826,0.022110660333283433
0.6006000000000002,15.837156939345798,0.1391312010163371,176.5943997916779,92.08673591329467,0.025606901534130373
0.6172833333333336,15.911890984912594,0.0747340455667957,175.88538128740663,91.10664029051799,0.01283082119928808
0.633966666666667,15.974407216784078,0.06251623187148453,165.43639687674627,93.25730485670898,0.027593038687758403
0.6506500000000004,16.07813316015747,0.10372594337339364,163.4304190564098,100.07096348434305,0.011857152705806957
0.6673333333333338,16.25106318589282,0.1729300257353499,156.00123823122757,100.57766181741628,0.057271183021410675
0.6840166666666672,16.483290715940125,0.2322275300473027,172.33203859411134,105.25294789317913,0.0408746843079532
0.7007000000000005,16.833589368900327,0.3502986529602012,179.7223323949544,130.02915359111162,0.07880459545855466
0.7173833333333339,17.266958233379434,0.4333688644791075,179.88463740238646,145.23933829975456,0.0571337342885025
0.7340666666666673,17.784069453527692,0.517111220148257,179.8915459698204,162.1476226847782,0.06176721868693161
0.7507500000000007,18.338567536062126,0.5544980825344341,179.16295032100234,169.57555314558,0.026722753193017697
0.7674333333333341,18.926297906086692,0.5877303700245656,177.38328458405744,179.51553395876363,0.0285845317649017
0.7841166666666675,19.552748700484326,0.6264507943976326,175.17983719961526,174.24599478383266,0.032999960588221564
0.8008000000000008,20.209329040460226,0.6565803399759006,176.50567500475174,172.1092000954643,0.012769697543826135
0.8174833333333342,20.885082288280472,0.6757532478202467,168.63978773203527,169.00464206634288,0.005951782405637012
0.8341666666666676,21.572067096241575,0.6869848079611018,167.73137069029085,169.81274845536416,0.0017078121789809414
0.850850000000001,22.269266407104354,0.6971993108627802,164.66250230655726,176.7667774365436,0.006670514787153379
0.8675333333333344,22.962413586151555,0.6931471790472024,165.57154528981366,179.15434985417832,0.006798546230089491
