Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m),Largura
0,0.010585476249688511,0.010585476249688511,150.6704085182767,151.89982239043613,0,0.001326529979690058
0.016683333333333335,0.012048673293733318,0.0014631970440448065,156.2791486427372,154.8497310831877,0.02731208566688412,3.028483688795366e-05
0.03336666666666667,0.018587742538234576,0.006539069244501258,159.19187458778708,154.6423009200233,0.015015264824574442,0.0008956783562792274
0.050050000000000004,0.024368033125716886,0.00578029058748231,161.8503140312746,155.08562932544157,0.007952968932072623,0.0007884226341948662
0.06673333333333334,0.03031210894950281,0.005944075823785925,162.557529524567,162.0239312037538,0.005311269970426816,0.0006007107694872411
0.08341666666666667,0.03400017537124417,0.0036880664217413556,167.25509288368903,171.6492962433706,0.0024807784150991385,0.0002461411803931571
0.1001,0.4261648858862595,0.39216471051501534,162.38949650812253,166.96742795426496,0.0022195098296532963,0.05394509122332449
0.11678333333333332,0.8513857300800728,0.4252208441938133,164.6538647973848,167.87282361819288,0.008600464835335298,0.058498922426800645
0.13346666666666665,1.4582313988102595,0.6068456687301867,159.4160784746079,173.8886717848252,0.024955921458229464,0.08316811278697372
0.15014999999999998,1.9308521788233592,0.47262078001309965,163.09359348239516,132.24383350700867,0.00840388654897526,0.06457593413489866
0.1668333333333333,2.513091260137066,0.5822390813137066,167.23840142714846,176.71060326914707,0.012962349254296759,0.07982242595340641
0.18351666666666663,3.078510141410737,0.5654188812736709,175.3804090445543,178.7076589318857,0.013906307546678263,0.07759663959065817
0.20019999999999996,3.662201957341866,0.5836918159311286,174.21986403390198,142.34886968316783,0.0038043623807379927,0.07958530851452167
0.2168833333333333,4.271745233545914,0.6095432762040485,177.78735782419133,127.14148023479012,0.010997794164394484,0.08340673977798146
0.23356666666666662,4.884596910682831,0.6128516771369165,179.21895600311885,118.60702405614411,0.0013206499510345306,0.084316739210789
0.25025,5.510475935744369,0.6258790250615376,177.37407624691681,94.67088193023055,0.005204440997096985,0.0861087164785577
0.2669333333333333,6.09756533524902,0.5870893995046516,174.60048072564044,80.90489463527304,0.0077644823188147225,0.08076566115981296
0.28361666666666663,6.675414224726127,0.5778488894771074,178.0300631383025,77.65766264831383,0.007394047766200578,0.0794745813735326
0.30029999999999996,7.153739193738973,0.4783249690128456,162.36400465305093,66.73797378174677,0.0016088674962290877,0.06570348051733235
0.3169833333333333,7.510661234058394,0.3569220403194209,144.66084094890914,62.40260309254086,0.039315094414088404,0.048995853464468636
0.3336666666666666,7.8017792356357925,0.29111800157739876,144.5110487305649,58.958660625693604,0.0040406490058478226,0.03993861453187722
0.35034999999999994,7.975676930988848,0.17389769535305497,146.2315072684151,57.08068280177803,0.03923246899417818,0.023690463316655964
0.36703333333333327,8.058807266836242,0.08313033584739346,150.05114501825855,63.24994323434667,0.01620977571680679,0.011041061811018008
0.3837166666666666,8.065252811660793,0.0064455448245504966,147.86944248115717,69.78100789760806,0.033159609552894535,0.0008651105984942701
0.4003999999999999,8.090201080817913,0.024948269157119878,147.5117389465147,69.64996569036238,0.01527381265861588,0.003399807115355491
0.41708333333333325,8.16404205135627,0.0738409705383582,145.59563109320118,73.66885714479017,0.016322951334322617,0.010098701506733181
0.4337666666666666,8.287961058741166,0.12391900738489589,144.858562992188,78.36896240199057,0.013301467719953679,0.01684929251650829
0.4504499999999999,8.51742887671595,0.22946781797478522,146.87768450693827,97.872205750694,0.016832103253363626,0.03148195310893026
0.46713333333333323,8.85267979691201,0.3352509201960607,153.16510634297677,118.7191795349768,0.05369697999285713,0.04605676252836927
0.48381666666666656,9.230666543675492,0.3779867467634813,155.72544079598455,133.2423863826148,0.0318031454530099,0.051870471238474006
0.5005,9.625499023174196,0.39483247949870504,163.4997628179769,141.2563996256883,0.030886558775917925,0.054181176410965454
0.5171833333333333,10.060097108603163,0.4345980854289657,162.48408997277087,151.24238194555778,0.029338634632652703,0.05962997046787262
0.5338666666666667,10.52481293872015,0.4647158301169862,170.32360220880992,159.37098680263134,0.022947689326823235,0.06377755391522012
0.5505500000000001,11.017295066643673,0.4924821279235237,173.24445964443282,160.7899868257218,0.029581520003523758,0.06762406442482435
0.5672333333333335,11.537013162297598,0.5197180956539258,174.3504146329884,162.91654247076414,0.02344696013988683,0.07132686546981074
0.5839166666666669,12.097592023947287,0.5605788616496893,174.57445992035414,167.09791177998414,0.03282134770347382,0.07694589590065698
0.6006000000000002,12.6845150059792,0.5869229820319132,174.60333567364935,167.75229551536435,0.028549559535687778,0.0805437988977007
0.6172833333333336,13.278474623342296,0.5939596173630958,171.46865565339613,168.17736121248018,0.006326133625537218,0.08147062725477032
0.633966666666667,13.868334619885134,0.5898599965428377,167.0733779973261,168.58180652947416,0.009401167305931867,0.08083750769151617
0.6506500000000004,14.46098281205295,0.5926481921678163,166.8686719242432,168.4312801008283,0.00296950676997567,0.08120438638978134
0.6673333333333338,15.04704287011832,0.5860600580653686,164.4849788948557,167.1102114147925,0.0033023728035625,0.08026498240385506
0.6840166666666672,15.631074139881859,0.5840312697635391,159.68753132779622,162.43468527529575,0.005682145062620052,0.07990479745000088
0.7007000000000005,16.207269132906728,0.5761949930248699,150.22105185389358,160.87064790293945,0.009020945510190401,0.07872394097999627
0.7173833333333339,16.778828545340964,0.5715594124342379,147.53267515561035,161.8878572934127,0.00955113472826098,0.07805876934932361
0.7340666666666673,17.351104061130467,0.5722755157895046,141.2592103364743,163.2681084560303,0.00951679641078759,0.0779715251553237
